   id    runId  sec cut_sec N500004 cut_run cut_nPri cut_EvRate cut_nGoodPri cut_ZDCx cut_BBCES cut_NhitsRatio cut_dcaXY cut_dcaXYZ cut_sumpt cut_meanpt cut_tracketa cut_trackphi cut_vz cut_vzVpd cut_nTOF cut_nBEMC cut_N500004
    0 16124017 1797       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    1 16124018 1800       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    2 16124019  887       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    3 16124033 1858       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    4 16124034 1802       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    5 16124035 1748       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    6 16124037 2067       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    7 16125001   99       1       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    8 16125003 1796       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
    9 16125014 1989       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   10 16125015  833       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   11 16125016 1420       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   12 16125024  661       0       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   13 16125035  748       0    7851       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   14 16125036  427       1       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   15 16125037  534       1       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   16 16125038   45       1       3       1        0          1            1        0         0              0         0          0         0          1            1            1      1         1        0         0           1
   17 16125039 1652       0   12726       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   18 16125042  527       1    5812       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   19 16125043 1640       0    7062       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   20 16125046  199       1       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   21 16125048  471       1       0       1        0          1            1        0         1              1         1          1         1          1            0            1      0         0        1         1           1
   22 16125050 1810       0   22719       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   23 16125052  410       1    1817       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
   24 16125053 1796       0   23800       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   25 16125054 1800       0   24572       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   26 16125056 1929       0   26204       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   27 16125057 1806       0   24426       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   28 16125058 1803       0   24489       1        0          0            0        0         0              0         0          0         0          1            0            0      0         0        0         0           0
   29 16125060 1686       0   24096       1        0          0            1        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   30 16125061 1812       0   25604       1        0          0            1        0         0              0         0          1         0          0            0            0      0         0        0         0           0
   31 16125062 1791       0   13645       1        0          0            1        0         0              0         0          1         0          0            0            0      0         0        0         0           0
   32 16125063  215       1    1231       1        0          0            1        0         0              0         0          1         1          1            0            0      0         0        0         1           1
   33 16126006 1890       0   12303       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   34 16126007 1978       0   26020       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   35 16126008 1397       0   19217       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   36 16126009 1884       0   25457       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   37 16126010 2108       0   25638       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   38 16126011 1897       0   25186       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   39 16126012 1815       0   24118       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   40 16126013 2278       0   30690       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   41 16126014  173       1    2430       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   42 16126015 1852       0   25930       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   43 16126016 1826       0   25261       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   44 16126017 1843       0   25190       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   45 16126018 1090       0   15728       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   46 16126030 1743       0   14802       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   47 16126031 1770       0   13536       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   48 16126032 1830       0   16821       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   49 16126033 1808       0   22690       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   50 16126034 1996       0   14906       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   51 16126035  780       0    9666       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   52 16126036 1710       0   21176       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   53 16126037 1802       0   21749       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   54 16126038 1806       0   21990       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   55 16126039 1802       0   21034       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   56 16126040 1806       0   12258       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   57 16126041 1764       0   20885       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   58 16126042 1802       0   21413       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   59 16126043 1477       0   18028       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   60 16126044 1471       0   12207       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   61 16126050 1511       0   12428       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   62 16126051 1803       0   19541       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   63 16126052 1794       0   15401       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   64 16126053 1486       0   11223       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   65 16127005 1016       0    5000       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        1         0           0
   66 16127006  369       1    4011       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   67 16127007 1609       0   17249       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   68 16127008 1815       0   18729       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   69 16127009 1832       0    4598       1        0          1            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   70 16127010 2095       0   18409       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   71 16127011 1840       0   22361       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   72 16127012 1084       0   13326       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   73 16127013 2029       0   23729       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   74 16127014 1804       0   10916       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   75 16127015 1870       0   22769       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   76 16127016  834       0   10639       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   77 16127017 1991       0   18606       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   78 16127018 1792       0   18640       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   79 16127019 1805       0   13654       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   80 16127020 1805       0   20114       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   81 16127021 1798       0   19354       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   82 16127022  155       1     918       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
   83 16127023  645       0    6823       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   84 16127024  457       1    3281       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   85 16127025 1799       0   17250       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   86 16127026 1795       0   19007       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   87 16127027 1177       0    6631       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   88 16127028 1791       0   19624       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   89 16127029 1782       0   19327       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   90 16127030 1267       0   14878       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   91 16127031 1733       0   20101       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   92 16127032 1634       0   19194       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   93 16127033  629       0    7445       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   94 16127047 1843       0   19405       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   95 16127048 1222       0    3704       1        0          0            0        0         1              1         1          1         0          1            0            0      0         0        1         0           0
   96 16127049 1184       0    3518       1        0          0            1        0         1              1         1          1         0          1            0            1      0         0        1         0           0
   97 16127052 1792       0   17901       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   98 16127053 1482       0   16605       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
   99 16127054   83       1     958       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  100 16127055 1972       0   24208       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  101 16128001 2000       0   22998       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  102 16128002 1810       0   22021       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  103 16128003 1415       0   17067       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  104 16128005  100       1     286       1        0          0            0        0         0              0         0          0         0          0            0            0      0         1        0         0           1
  105 16128006   48       1     293       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  106 16128007 2164       0   13624       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  107 16128008 1057       0    7303       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  108 16128009 1085       0    8846       1        0          0            0        0         0              0         1          0         0          0            0            0      0         0        0         0           0
  109 16128010 1819       0   11536       1        0          0            0        0         0              0         1          1         0          0            0            0      0         0        0         0           0
  110 16128011 1813       0    9148       1        0          0            0        0         0              0         1          1         0          0            0            0      0         0        0         0           0
  111 16128012 1822       0   12581       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  112 16128014   63       1     428       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  113 16128015 1909       0   15086       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  114 16128016 1197       0   10294       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  115 16128020  212       1    1077       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  116 16128021 1905       0   16198       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  117 16128022 1789       0   20749       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  118 16128028  822       0    7046       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  119 16128029  904       0    8119       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  120 16128030 1677       0   14317       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  121 16128031  275       1    2561       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  122 16128032  194       1    1639       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  123 16128034  768       0    6840       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  124 16128035  706       0    5914       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  125 16128036 1757       0   14041       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  126 16128037 1906       0   12670       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  127 16128038  175       1    1771       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  128 16128039 1708       0   15681       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  129 16128040 1759       0   17425       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  130 16128041 1775       0   16073       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  131 16128042  398       1    3177       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  132 16128043 1804       0   19922       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  133 16128044  223       1    2387       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  134 16128047 1792       0   11127       1        0          0            0        0         0              0         1          1         0          0            0            0      0         0        0         0           0
  135 16128048 1785       0    8822       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  136 16128049 1802       0    8912       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  137 16128050 1809       0   14433       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  138 16128051 1806       0   13805       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  139 16128052 1080       0    8020       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  140 16128053  244       1     405       1        0          1            0        0         0              0         0          0         0          0            0            1      0         0        0         0           1
  141 16128054  461       1    4521       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  142 16128055 1984       0   14574       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  143 16128056  117       1      45       1        0          1            0        0         0              0         0          0         0          1            0            0      0         0        0         0           1
  144 16128057  698       0    4506       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  145 16128058 1827       0   20023       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  146 16128059 1732       0   19886       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  147 16128060 1625       0    3646       1        0          1            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  148 16128061  136       1     908       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
